UNIPROT:Q9BSI4:T116:PRGE	TERF1-interacting nuclear factor 2
UNIPROT:Q6EKJ0:T116:PRGE	GTF2I repeat domain-containing protein 2B
UNIPROT:P02689:T116:PRGE	Myelin P2 protein
UNIPROT:Q8TDQ7:T116:PRGE	Glucosamine-6-phosphate isomerase 2
UNIPROT:Q5SWA1:T116:PRGE	Protein phosphatase 1 regulatory subunit 15B
UNIPROT:Q9BT04:T116:PRGE	Protein fuzzy homolog
UNIPROT:Q8TE23:T116:PRGE	Taste receptor type 1 member 2
UNIPROT:P0C623:T116:PRGE	Olfactory receptor 4Q2
UNIPROT:Q5T8A7:T116:PRGE	Protein KIAA0649
UNIPROT:P0C626:T116:PRGE	Olfactory receptor 5G3
UNIPROT:P0C628:T116:PRGE	Olfactory receptor 5AC1
UNIPROT:Q8IU60:T116:PRGE	hDpc
UNIPROT:P0C629:T116:PRGE	Olfactory receptor 10J4
UNIPROT:Q8TDQ0:T116:PRGE	Hepatitis A virus cellular receptor 2
UNIPROT:Q8IU68:T116:PRGE	Transmembrane channel-like protein 8
UNIPROT:Q9BSN7:T116:PRGE	Transmembrane protein 204
UNIPROT:Q96MK3:T116:PRGE	Protein FAM20A
UNIPROT:Q96MK2:T116:PRGE	Protein FAM65C
UNIPROT:Q02487:T116:PRGE	Desmocollin-2
UNIPROT:P02675:T116:PRGE	Fibrinogen beta chain
UNIPROT:P00414:T116:PRGE	Cytochrome c oxidase subunit 3
UNIPROT:Q8TE12:T116:PRGE	LIM homeobox transcription factor 1-alpha
UNIPROT:Q8TDP1:T116:PRGE	Ribonuclease H2 subunit C
UNIPROT:P0C617:T116:PRGE	Olfactory receptor 5AL1
UNIPROT:Q9UHA3:T116:PRGE	Probable ribosome biogenesis protein RLP24
UNIPROT:Q9UHA2:T116:PRGE	SS18-like protein 2
UNIPROT:Q9UHA4:T116:PRGE	Mitogen-activated protein kinase scaffold protein 1
UNIPROT:Q9UHA7:T116:PRGE	IL-1F6
UNIPROT:Q8IU57:T116:PRGE	IL-28R-alpha
UNIPROT:Q8IU53:T116:PRGE	Protein CASC2, isoforms 1/2
UNIPROT:Q8IU54:T116:PRGE	IL-29
UNIPROT:P56159:T116:PRGE	GDNFR-alpha-1
UNIPROT:Q4VC05:T116:PRGE	B-cell CLL/lymphoma 7 protein family member A
UNIPROT:Q9BT09:T116:PRGE	Protein canopy homolog 3
UNIPROT:P0C645:T116:PRGE	Olfactory receptor 4E1
UNIPROT:P0C646:T116:PRGE	Olfactory receptor 52Z1
UNIPROT:P29317:T116:PRGE	Ephrin type-A receptor 2
UNIPROT:P56192:T116:PRGE	Methionyl-tRNA synthetase, cytoplasmic
UNIPROT:Q8TE02:T116:PRGE	Dermal papilla-derived protein 6
UNIPROT:Q15937:T116:PRGE	Zinc finger protein 79
UNIPROT:Q9BSM1:T116:PRGE	Polycomb group RING finger protein 1
UNIPROT:Q8TE04:T116:PRGE	hPanK
UNIPROT:P00441:T116:PRGE	Superoxide dismutase [Cu-Zn]
UNIPROT:Q15935:T116:PRGE	Zinc finger protein 77
UNIPROT:Q14498:T116:PRGE	RNA-binding protein 39
UNIPROT:Q96MI6:T116:PRGE	Protein phosphatase 1M
UNIPROT:Q96MI9:T116:PRGE	Cytosolic carboxypeptidase 4
UNIPROT:Q6T310:T116:PRGE	Ras-like protein family member 11A
UNIPROT:Q14493:T116:PRGE	Histone RNA hairpin-binding protein
UNIPROT:Q14494:T116:PRGE	NFE2-related factor 1
UNIPROT:Q6T311:T116:PRGE	ADP-ribosylation factor-like protein 9
UNIPROT:Q0VGE8:T116:PRGE	Zinc finger protein 816A
UNIPROT:Q8TDN7:T116:PRGE	Alkaline CDase 1
UNIPROT:Q8TDN8:T116:PRGE	COAS-3
UNIPROT:P00450:T116:PRGE	Ceruloplasmin
UNIPROT:P29320:T116:PRGE	Ephrin type-A receptor 3
UNIPROT:P29323:T116:PRGE	Ephrin type-B receptor 2
UNIPROT:P29322:T116:PRGE	Ephrin type-A receptor 8
UNIPROT:Q8TDN2:T116:PRGE	Potassium voltage-gated channel subfamily V member 2
UNIPROT:P56181:T116:PRGE	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial
UNIPROT:P56180:T116:PRGE	Putative tyrosine-protein phosphatase TPTE
UNIPROT:Q8TDN1:T116:PRGE	Potassium voltage-gated channel subfamily G member 4
UNIPROT:P56182:T116:PRGE	Ribosomal RNA processing protein 1 homolog A
UNIPROT:Q8TDN6:T116:PRGE	Ribosome biogenesis protein BRX1 homolog
UNIPROT:Q8TDN4:T116:PRGE	CDK5 and ABL1 enzyme substrate 1
UNIPROT:Q15942:T116:PRGE	Zyxin
UNIPROT:Q15940:T116:PRGE	Putative zinc finger protein 67
UNIPROT:P00439:T116:PRGE	Phenylalanine-4-hydroxylase
